Age group,Males,Females,Persons,Males,Females,Persons
0–39,"17,664","18,737","36,401",0.3,0.3,0.3
40–44,"18,935","16,105","35,040",2.4,2,2.2
45–49,"31,475","27,312","58,787",3.8,3.2,3.5
50–54,"46,642","39,848","86,490",6.1,5,5.5
55–59,"66,225","54,268","120,493",8.7,6.8,7.7
60–64,"82,180","64,538","146,718",11.8,8.7,10.2
65–69,"94,557","72,029","166,586",15.5,11.1,13.2
70–74,"102,852","76,869","179,721",19,13.6,16.3
75–79,"78,361","62,364","140,725",21.1,15.5,18.2
80–84,"52,833","49,141","101,974",22,17,19.3
85+,"41,334","50,610","91,944",20.2,15.6,17.4
Total,"633,058","531,821","1,164,879",5,4.1,4.5
