Food,Bi_category,Tag,Unit,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,GI,GI_level
Cows' milk,Dairy_products_1,1,1 cup,250,169.06,8.2,10.25,9.22,0,12.3,27.6,low
Milk skim,Dairy_products_1,1,1 cup,250,91.46,9.15,0,0,0,13.21,27.6,low
Cheese,Dairy_products_2,1,15g,15,16.0,2,0.73,0.67,0,0.4,27.0,low
Cheddar,Dairy_products_2,1,15g,15,61.76,3.53,5.29,4.41,0,0,27.0,low
Cream cheese,Dairy_products_2,1,15g,15,56.25,1.07,5.89,5.36,0,0.54,27.0,low
Swiss,Dairy_products_2,1,15g,15,56.25,3.75,4.29,3.75,0,0,27.0,low
Boiled eggs,EGG,0,1,50,72.0,6,5,0,0,0,,low
Eggs Scrambled or fried,EGG,0,2,128,176.0,18,13,12,0,4,,low
Corn oil,oil,1,10g,10,89.29,0,10,3.57,0,0,,low
Olive oil,oil,1,10g,10,89.29,0,10,2.14,0,0,,low
Safflower seed oil,oil,1,10g,10,89.29,0,10,2.14,0,0,,low
Mayonnaise,oil,1,10g,10,73.33,0,8,3.33,0,0,,low
Thousand Island sauce,oil,1,10g,10,50.0,0,5.33,2,0,0.67,,low
Roast beef,Meat,0,85g,85,390.0,16,36,35,0,0,,low
Steak,Meat,0,85g,85,330.0,20,27,25,0,0,,low
Roasted chicken,Meat,0,100g,100,290.0,25,20,16,0,0,,low
"Lamb, chop, broiled",Meat,0,85g,85,354.78,17.74,25.87,24.39,0,0,,low
Leg roasted,Meat,0,85g,85,314.0,20,14,14,0,0,,low
Pork roast,Meat,0,85g,85,310.0,21,24,21,0,0,,low
Beef,Meat,2,85g,85,245.0,23,16,15,0,0,,low
chicken,Meat,2,85g,85,185.0,23,9,7,0,0,,low
"Duck, domestic",Meat,2,100g,100,370.0,16,28,0,0,0,,low
Pork,Meat,2,100g,100,260.0,16,21,18,0,0,,low
Turkey,Meat,2,100g,100,265.0,27,15,0,0,0,,low
Beef,Meat,3,85g,85,245.0,23,16,15,0,0,,low
chicken,Meat,3,100g,100,217.65,27.06,10.59,8.23,0,0,,low
"Duck, domestic",Meat,3,100g,100,370.0,16,28,0,0,0,,low
Pork,Meat,3,100g,100,260.0,16,21,18,0,0,,low
Turkey,Meat,3,100g,100,265.0,27,15,0,0,0,,low
Clams,seafood,2,3 oz.,85,87.0,12,1,0,0,2,,low
Cod,seafood,2,3.5 oz.,100,170.0,28,5,0,0,0,,low
Crab meat,seafood,2,3 oz.,85,90.0,14,2,0,0,1,,low
Flounder,seafood,2,3.5 oz.,100,200.0,30,8,0,0,0,,low
Haddock,seafood,2,3 oz.,85,135.0,16,5,4,0,6,,low
Halibut,seafood,2,3.5 oz.,100,182.0,26,8,0,0,0,,low
Herring,seafood,2,1 small,100,211.0,22,13,0,0,0,,low
Lobster,seafood,2,100g,100,92.0,18,1,0,0,0,,low
Mackerel,seafood,2,3 oz.,85,155.0,18,9,0,0,0,,low
Salmon,seafood,2,3 oz.,85,120.0,17,5,1,0,0,,low
Sardines,seafood,2,3 oz.,85,180.0,22,9,4,0,0,,low
Scallops,seafood,2,3.5 oz.,100,104.0,18,8,0,0,10,,low
Shad,seafood,2,3 oz.,85,170.0,20,10,0,0,0,,low
Shrimp,seafood,2,3 oz.,85,110.0,23,1,0,0,0,,low
Swordfish,seafood,2,100g,100,180.0,27,6,0,0,0,,low
Tuna,seafood,2,3 oz.,85,170.0,25,7,3,0,0,,low
Clams,seafood,3,3 oz.,85,87.0,12,1,0,0,2,,low
Cod,seafood,3,3.5 oz.,100,170.0,28,5,0,0,0,,low
Crab meat,seafood,3,3 oz.,85,90.0,14,2,0,0,1,,low
Flounder,seafood,3,3.5 oz.,100,200.0,30,8,0,0,0,,low
Haddock,seafood,3,3 oz.,85,135.0,16,5,4,0,6,,low
Halibut,seafood,3,3.5 oz.,100,182.0,26,8,0,0,0,,low
Herring,seafood,3,1 small,100,211.0,22,13,0,0,0,,low
Lobster,seafood,3,100g,100,92.0,18,1,0,0,0,,low
Mackerel,seafood,3,3 oz.,85,155.0,18,9,0,0,0,,low
Salmon,seafood,3,3 oz.,85,120.0,17,5,1,0,0,,low
Sardines,seafood,3,3 oz.,85,180.0,22,9,4,0,0,,low
Scallops,seafood,3,3.5 oz.,100,104.0,18,8,0,0,10,,low
Shad,seafood,3,3 oz.,85,170.0,20,10,0,0,0,,low
Shrimp,seafood,3,3 oz.,85,110.0,23,1,0,0,0,,low
