Food,,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,,bi_category,Tag,1_unit,1_grams,1_Calories,1_Protein,1_Fat,1_Sat.Fat,1_Fiber,1_Carbs,GI,GI_level
Cows' milk,,1 qt.,976,660,32,40,36,0,48,Dairy products,,Dairy_products_1,1,1 cup,250,169.06,8.2,10.25,9.22,0,12.3,27.6,low
Milk skim,,1 qt.,984,360,36,t,t,0,52,Dairy products,,Dairy_products_1,1,1 cup,250,91.46,9.15,#VALUE!,#VALUE!,0,13.21,27.6,low
Cheese,,1 cup,225,240,30,11,10,0,6,Dairy products,,Dairy_products_2,1,15g,15,16,2,0.73,0.67,0,0.4,27,low
Cheddar,,1-in. cube,17,70,4,6,5,0,t,Dairy products,,Dairy_products_2,1,15g,15,61.76,3.53,5.29,4.41,0,#VALUE!,27,low
Cream cheese,,1 oz.,28,105,2,11,10,0,1,Dairy products,,Dairy_products_2,1,15g,15,56.25,1.07,5.89,5.36,0,0.54,27,low
Swiss,,1 oz.,28,105,7,8,7,0,t,Dairy products,,Dairy_products_2,1,15g,15,56.25,3.75,4.29,3.75,0,#VALUE!,27,low
Boiled eggs,,1,50,72,6,5,t,t,t,EGG,,EGG,0,1,50,72,6,5,#VALUE!,#VALUE!,#VALUE!,,low
Eggs Scrambled or fried,,2,128,176,18,13,12,0,4,EGG,,EGG,0,2,128,176,18,13,12,0,4,,low
Corn oil,,1 T.,14,125,0,14,5,0,0,"Fats, Oils, Shortenings",,oil,1,10g,10,89.29,0,10,3.57,0,0,,low
Olive oil,,1T.,14,125,0,14,3,0,0,"Fats, Oils, Shortenings",,oil,1,10g,10,89.29,0,10,2.14,0,0,,low
Safflower seed oil,,1 T.,14,125,0,14,3,0,0,"Fats, Oils, Shortenings",,oil,1,10g,10,89.29,0,10,2.14,0,0,,low
Mayonnaise,,1 T.,15,110,t,12,5,0,t,"Fats, Oils, Shortenings",,oil,1,10g,10,73.33,#VALUE!,8,3.33,0,#VALUE!,,low
Thousand Island sauce,,1 T.,15,75,t,8,3,0,1,"Fats, Oils, Shortenings",,oil,1,10g,10,50,#VALUE!,5.33,2,0,0.67,,low
Roast beef,,3 oz.,85,390,16,36,35,0,0,"Meat, Poultry",,Meat,0,85g,85,390,16,36,35,0,0,,low
Steak,,3 oz.,85,330,20,27,25,0,0,"Meat, Poultry",,Meat,0,85g,85,330,20,27,25,0,0,,low
Roasted chicken,,3 1/2 oz.,100,290,25,20,16,0,0,"Meat, Poultry",,Meat,0,100g,100,290,25,20,16,0,0,,low
"Lamb, chop, broiled",,4 oz.,115,480,24,35,33,0,0,"Meat, Poultry",,Meat,0,85g,85,354.78,17.74,25.87,24.39,0,0,,low
Leg roasted,,3 oz.,86,314,20,14,14,0,0,"Meat, Poultry",,Meat,0,85g,85,314,20,14,14,0,0,,low
Pork roast,,3 oz.,85,310,21,24,21,0,0,"Meat, Poultry",,Meat,0,85g,85,310,21,24,21,0,0,,low
Beef,,3 oz.,85,245,23,16,15,0,0,"Meat, Poultry",,Meat,2,85g,85,245,23,16,15,0,0,,low
chicken,,3 oz.,85,185,23,9,7,0,0,"Meat, Poultry",,Meat,2,85g,85,185,23,9,7,0,0,,low
"Duck, domestic",,3 1/2 oz.,100,370,16,28,0,0,0,"Meat, Poultry",,Meat,2,100g,100,370,16,28,0,0,0,,low
Pork,,3 1/2 oz.,100,260,16,21,18,0,0,"Meat, Poultry",,Meat,2,100g,100,260,16,21,18,0,0,,low
Turkey,,3 1/2 oz.,100,265,27,15,0,0,0,"Meat, Poultry",,Meat,2,100g,100,265,27,15,0,0,0,,low
Beef,,3 oz.,85,245,23,16,15,0,0,"Meat, Poultry",,Meat,3,85g,85,245,23,16,15,0,0,,low
chicken,,3 oz.,85,185,23,9,7,0,0,"Meat, Poultry",,Meat,3,100g,100,217.65,27.06,10.59,8.23,0,0,,low
"Duck, domestic",,3 1/2 oz.,100,370,16,28,0,0,0,"Meat, Poultry",,Meat,3,100g,100,370,16,28,0,0,0,,low
Pork,,3 1/2 oz.,100,260,16,21,18,0,0,"Meat, Poultry",,Meat,3,100g,100,260,16,21,18,0,0,,low
Turkey,,3 1/2 oz.,100,265,27,15,0,0,0,"Meat, Poultry",,Meat,3,100g,100,265,27,15,0,0,0,,low
Clams,,3 oz.,85,87,12,1,0,0,2,"Fish, Seafood",,seafood,2,3 oz.,85,87,12,1,0,0,2,,low
Cod,,3 1/2 oz.,100,170,28,5,0,0,0,"Fish, Seafood",,seafood,2,3.5 oz.,100,170,28,5,0,0,0,,low
Crab meat,,3 oz.,85,90,14,2,0,0,1,"Fish, Seafood",,seafood,2,3 oz.,85,90,14,2,0,0,1,,low
Flounder,,3 1/2 oz.,100,200,30,8,0,0,0,"Fish, Seafood",,seafood,2,3.5 oz.,100,200,30,8,0,0,0,,low
Haddock,,3 oz.,85,135,16,5,4,0,6,"Fish, Seafood",,seafood,2,3 oz.,85,135,16,5,4,0,6,,low
Halibut,,3 1/2 oz.,100,182,26,8,0,0,0,"Fish, Seafood",,seafood,2,3.5 oz.,100,182,26,8,0,0,0,,low
Herring,,1 small,100,211,22,13,0,0,0,"Fish, Seafood",,seafood,2,1 small,100,211,22,13,0,0,0,,low
Lobster,,aver.,100,92,18,1,0,0,t,"Fish, Seafood",,seafood,2,100g,100,92,18,1,0,0,#VALUE!,,low
Mackerel,,3 oz.,85,155,18,9,0,a,0,"Fish, Seafood",,seafood,2,3 oz.,85,155,18,9,0,#VALUE!,0,,low
Salmon,,3 oz.,85,120,17,5,1,0,0,"Fish, Seafood",,seafood,2,3 oz.,85,120,17,5,1,0,0,,low
Sardines,,3 oz.,85,180,22,9,4,0,0,"Fish, Seafood",,seafood,2,3 oz.,85,180,22,9,4,0,0,,low
Scallops,,3 1/2 oz.,100,104,18,8,0,0,10,"Fish, Seafood",,seafood,2,3.5 oz.,100,104,18,8,0,0,10,,low
Shad,,3 oz.,85,170,20,10,0,0,0,"Fish, Seafood",,seafood,2,3 oz.,85,170,20,10,0,0,0,,low
Shrimp,,3 oz.,85,110,23,1,0,0,0,"Fish, Seafood",,seafood,2,3 oz.,85,110,23,1,0,0,0,,low
